,Date,Count,WeekDate,WeekCount
122,2015-03-31,11239.0,2015-03-30,39374.0
123,2015-04-01,5999.0,2015-03-30,39374.0
124,2015-04-02,7128.0,2015-03-30,39374.0
125,2015-04-03,5144.0,2015-03-30,39374.0
126,2015-04-04,1674.0,2015-03-30,39374.0
127,2015-04-05,3240.0,2015-03-30,39374.0
128,2015-04-06,5630.0,2015-04-06,36438.0
129,2015-04-07,2019.0,2015-04-06,36438.0
130,2015-04-08,7433.0,2015-04-06,36438.0
131,2015-04-09,4232.0,2015-04-06,36438.0
132,2015-04-10,6099.0,2015-04-06,36438.0
133,2015-04-11,5761.0,2015-04-06,36438.0
134,2015-04-12,5264.0,2015-04-06,36438.0
135,2015-04-13,7558.0,2015-04-13,51815.0
136,2015-04-14,8944.0,2015-04-13,51815.0
137,2015-04-15,10847.0,2015-04-13,51815.0
138,2015-04-16,8564.0,2015-04-13,51815.0
139,2015-04-17,4031.0,2015-04-13,51815.0
140,2015-04-18,6222.0,2015-04-13,51815.0
141,2015-04-19,5649.0,2015-04-13,51815.0
142,2015-04-20,5505.0,2015-04-20,36031.0
143,2015-04-21,6372.0,2015-04-20,36031.0
144,2015-04-22,5883.0,2015-04-20,36031.0
145,2015-04-23,6509.0,2015-04-20,36031.0
146,2015-04-24,4191.0,2015-04-20,36031.0
147,2015-04-25,2373.0,2015-04-20,36031.0
148,2015-04-26,5198.0,2015-04-20,36031.0
149,2015-04-27,5620.0,2015-04-27,33422.0
150,2015-04-28,5608.0,2015-04-27,33422.0
151,2015-04-29,4455.0,2015-04-27,33422.0
152,2015-04-30,7801.0,2015-04-27,33422.0
153,2015-05-01,5032.0,2015-04-27,33422.0
154,2015-05-02,2578.0,2015-04-27,33422.0
155,2015-05-03,2328.0,2015-04-27,33422.0
156,2015-05-04,7086.0,2015-05-04,45536.0
157,2015-05-05,6989.0,2015-05-04,45536.0
158,2015-05-06,7182.0,2015-05-04,45536.0
