Date,Count,WeekDate,WeekCount
2017-08-18,10450.0,2017-08-14,64237.0
2017-08-19,4303.0,2017-08-14,64237.0
2017-08-20,12373.0,2017-08-14,64237.0
2017-08-21,8396.0,2017-08-21,74265.0
2017-08-22,8181.0,2017-08-21,74265.0
2017-08-23,8503.0,2017-08-21,74265.0
2017-08-24,17835.0,2017-08-21,74265.0
2017-08-25,10721.0,2017-08-21,74265.0
2017-08-26,7372.0,2017-08-21,74265.0
2017-08-27,13257.0,2017-08-21,74265.0
2017-08-28,8285.0,2017-08-28,58346.0
2017-08-29,8676.0,2017-08-28,58346.0
2017-08-30,8533.0,2017-08-28,58346.0
2017-08-31,11537.0,2017-08-28,58346.0
2017-09-01,8393.0,2017-08-28,58346.0
2017-09-02,2866.0,2017-08-28,58346.0
2017-09-03,10056.0,2017-08-28,58346.0
2017-09-04,3303.0,2017-09-04,65265.0
2017-09-05,13152.0,2017-09-04,65265.0
2017-09-06,9003.0,2017-09-04,65265.0
2017-09-07,12292.0,2017-09-04,65265.0
2017-09-08,7524.0,2017-09-04,65265.0
2017-09-09,11317.0,2017-09-04,65265.0
2017-09-10,8674.0,2017-09-04,65265.0
2017-09-11,10814.0,2017-09-11,76905.0
2017-09-12,14333.0,2017-09-11,76905.0
2017-09-13,7504.0,2017-09-11,76905.0
2017-09-14,7702.0,2017-09-11,76905.0
2017-09-15,12852.0,2017-09-11,76905.0
2017-09-16,8795.0,2017-09-11,76905.0
2017-09-17,14905.0,2017-09-11,76905.0
2017-09-18,5817.0,2017-09-18,51270.0
2017-09-19,8594.0,2017-09-18,51270.0
2017-09-20,10938.0,2017-09-18,51270.0
2017-09-21,3415.0,2017-09-18,51270.0
2017-09-22,4550.0,2017-09-18,51270.0
2017-09-23,4242.0,2017-09-18,51270.0
2017-09-24,13714.0,2017-09-18,51270.0
2017-09-25,6491.0,2017-09-25,60608.0
2017-09-26,10842.0,2017-09-25,60608.0
2017-09-27,4989.0,2017-09-25,60608.0
2017-09-28,11150.0,2017-09-25,60608.0
2017-09-29,9769.0,2017-09-25,60608.0
2017-09-30,3905.0,2017-09-25,60608.0
2017-10-01,13462.0,2017-09-25,60608.0
2017-10-02,10859.0,2017-10-02,72912.0
