,Date,Count,WeekDate,WeekCount,Mean
82,2015-02-27,2696.0,2015-02-23,16575.0,2367.714285714286
83,2015-02-28,5438.0,2015-02-23,16575.0,2367.714285714286
84,2015-03-01,2368.0,2015-02-23,16575.0,2367.714285714286
85,2015-03-02,32.0,2015-03-02,20884.0,2983.4285714285716
86,2015-03-03,1202.0,2015-03-02,20884.0,2983.4285714285716
87,2015-03-04,5009.0,2015-03-02,20884.0,2983.4285714285716
88,2015-03-05,4678.0,2015-03-02,20884.0,2983.4285714285716
89,2015-03-06,1778.0,2015-03-02,20884.0,2983.4285714285716
90,2015-03-07,4611.0,2015-03-02,20884.0,2983.4285714285716
91,2015-03-08,3574.0,2015-03-02,20884.0,2983.4285714285716
92,2015-03-09,11653.0,2015-03-09,41171.0,5881.571428571428
93,2015-03-10,2346.0,2015-03-09,41171.0,5881.571428571428
94,2015-03-11,4089.0,2015-03-09,41171.0,5881.571428571428
95,2015-03-12,5753.0,2015-03-09,41171.0,5881.571428571428
96,2015-03-13,10050.0,2015-03-09,41171.0,5881.571428571428
97,2015-03-14,6300.0,2015-03-09,41171.0,5881.571428571428
98,2015-03-15,980.0,2015-03-09,41171.0,5881.571428571428
99,2015-03-16,916.0,2015-03-16,19229.0,2746.8571428571427
100,2015-03-17,1240.0,2015-03-16,19229.0,2746.8571428571427
101,2015-03-18,4857.0,2015-03-16,19229.0,2746.8571428571427
102,2015-03-19,3751.0,2015-03-16,19229.0,2746.8571428571427
103,2015-03-20,5653.0,2015-03-16,19229.0,2746.8571428571427
104,2015-03-21,2747.0,2015-03-16,19229.0,2746.8571428571427
105,2015-03-22,2812.0,2015-03-16,19229.0,2746.8571428571427
106,2015-03-23,1005.0,2015-03-23,9975.0,1424.857142857143
107,2015-03-24,2750.0,2015-03-23,9975.0,1424.857142857143
108,2015-03-25,1115.0,2015-03-23,9975.0,1424.857142857143
109,2015-03-26,1159.0,2015-03-23,9975.0,1424.857142857143
110,2015-03-27,3780.0,2015-03-23,9975.0,1424.857142857143
111,2015-03-28,1425.0,2015-03-23,9975.0,1424.857142857143
112,2015-03-29,166.0,2015-03-23,9975.0,1424.857142857143
113,2015-03-30,8395.0,2015-03-30,32672.0,4667.142857142857
114,2015-03-31,1999.0,2015-03-30,32672.0,4667.142857142857
115,2015-04-01,7829.0,2015-03-30,32672.0,4667.142857142857
116,2015-04-02,2117.0,2015-03-30,32672.0,4667.142857142857
117,2015-04-03,4667.0,2015-03-30,32672.0,4667.142857142857
118,2015-04-04,4667.0,2015-03-30,32672.0,4667.142857142857
119,2015-04-05,12332.0,2015-03-30,32672.0,4667.142857142857
120,2015-04-06,4120.0,2015-04-06,10578.0,1510.857142857143
121,2015-04-07,25.0,2015-04-06,10578.0,1510.857142857143
122,2015-04-08,695.0,2015-04-06,10578.0,1510.857142857143
123,2015-04-09,1086.0,2015-04-06,10578.0,1510.857142857143
124,2015-04-10,1511.0,2015-04-06,10578.0,1510.857142857143
125,2015-04-11,1511.0,2015-04-06,10578.0,1510.857142857143
126,2015-04-12,4652.0,2015-04-06,10578.0,1510.857142857143
127,2015-04-13,1064.0,2015-04-13,12891.0,1841.4285714285713
128,2015-04-14,1834.0,2015-04-13,12891.0,1841.4285714285713
129,2015-04-15,1576.0,2015-04-13,12891.0,1841.4285714285713
130,2015-04-16,162.0,2015-04-13,12891.0,1841.4285714285713
131,2015-04-17,4856.0,2015-04-13,12891.0,1841.4285714285713
132,2015-04-18,1841.0,2015-04-13,12891.0,1841.4285714285713
133,2015-04-19,3399.0,2015-04-13,12891.0,1841.4285714285713
134,2015-04-20,681.0,2015-04-20,23148.0,3306.8571428571427
135,2015-04-21,2564.0,2015-04-20,23148.0,3306.8571428571427
136,2015-04-22,3669.0,2015-04-20,23148.0,3306.8571428571427
137,2015-04-23,6463.0,2015-04-20,23148.0,3306.8571428571427
138,2015-04-24,3377.0,2015-04-20,23148.0,3306.8571428571427
139,2015-04-25,1410.0,2015-04-20,23148.0,3306.8571428571427
140,2015-04-26,4984.0,2015-04-20,23148.0,3306.8571428571427
141,2015-04-27,6332.0,2015-04-27,34027.0,4861.0
142,2015-04-28,2720.0,2015-04-27,34027.0,4861.0
143,2015-04-29,1077.0,2015-04-27,34027.0,4861.0
144,2015-04-30,12718.0,2015-04-27,34027.0,4861.0
145,2015-05-01,1969.0,2015-04-27,34027.0,4861.0
146,2015-05-02,9194.0,2015-04-27,34027.0,4861.0
147,2015-05-03,17.0,2015-04-27,34027.0,4861.0
148,2015-05-04,3181.0,2015-05-04,27071.0,3867.1428571428573
149,2015-05-05,6841.0,2015-05-04,27071.0,3867.1428571428573
150,2015-05-06,4081.0,2015-05-04,27071.0,3867.1428571428573
151,2015-05-07,7585.0,2015-05-04,27071.0,3867.1428571428573
152,2015-05-08,1948.0,2015-05-04,27071.0,3867.1428571428573
153,2015-05-09,3867.0,2015-05-04,27071.0,3867.1428571428573
154,2015-05-10,3435.0,2015-05-04,27071.0,3867.1428571428573
155,2015-05-11,5354.0,2015-05-11,73029.0,10432.714285714286
156,2015-05-12,2023.0,2015-05-11,73029.0,10432.714285714286
157,2015-05-13,10386.0,2015-05-11,73029.0,10432.714285714286
158,2015-05-14,9122.0,2015-05-11,73029.0,10432.714285714286
159,2015-05-15,15592.0,2015-05-11,73029.0,10432.714285714286
160,2015-05-16,21865.0,2015-05-11,73029.0,10432.714285714286
161,2015-05-17,8687.0,2015-05-11,73029.0,10432.714285714286
162,2015-05-18,19549.0,2015-05-18,47136.0,6733.714285714285
163,2015-05-19,7329.0,2015-05-18,47136.0,6733.714285714285
164,2015-05-20,8298.0,2015-05-18,47136.0,6733.714285714285
165,2015-05-21,3053.0,2015-05-18,47136.0,6733.714285714285
166,2015-05-22,2543.0,2015-05-18,47136.0,6733.714285714285
167,2015-05-23,4070.0,2015-05-18,47136.0,6733.714285714285
168,2015-05-24,2294.0,2015-05-18,47136.0,6733.714285714285
169,2015-05-25,5669.0,2015-05-25,19456.0,2779.4285714285716
170,2015-05-26,3565.0,2015-05-25,19456.0,2779.4285714285716
171,2015-05-27,808.0,2015-05-25,19456.0,2779.4285714285716
172,2015-05-28,2583.0,2015-05-25,19456.0,2779.4285714285716
173,2015-05-29,1777.0,2015-05-25,19456.0,2779.4285714285716
174,2015-05-30,1667.0,2015-05-25,19456.0,2779.4285714285716
175,2015-05-31,3387.0,2015-05-25,19456.0,2779.4285714285716
176,2015-06-01,638.0,2015-06-01,29171.0,4167.285714285715
177,2015-06-02,4930.0,2015-06-01,29171.0,4167.285714285715
178,2015-06-03,9658.0,2015-06-01,29171.0,4167.285714285715
179,2015-06-04,2780.0,2015-06-01,29171.0,4167.285714285715
180,2015-06-05,3698.0,2015-06-01,29171.0,4167.285714285715
181,2015-06-06,7450.0,2015-06-01,29171.0,4167.285714285715
182,2015-06-07,17.0,2015-06-01,29171.0,4167.285714285715
183,2015-06-08,21.0,2015-06-08,17226.0,2152.875
184,2015-06-09,7548.0,2015-06-08,17226.0,2152.875
185,2015-06-10,1931.0,2015-06-08,17226.0,2152.875
186,2015-06-11,2890.0,2015-06-08,17226.0,2152.875
187,2015-06-12,4836.0,2015-06-08,17226.0,2152.875
188,2015-06-13,2153.0,2015-06-08,17226.0,2152.875
189,2015-06-14,2153.0,2015-06-08,17226.0,2152.875
190,2015-06-15,2153.0,2015-06-08,17226.0,2152.875
191,2015-06-16,6108.0,2015-06-15,30100.0,5016.666666666667
192,2015-06-17,5069.0,2015-06-15,30100.0,5016.666666666667
193,2015-06-18,5834.0,2015-06-15,30100.0,5016.666666666667
194,2015-06-19,5435.0,2015-06-15,30100.0,5016.666666666667
195,2015-06-20,842.0,2015-06-15,30100.0,5016.666666666667
196,2015-06-21,6812.0,2015-06-15,30100.0,5016.666666666667
197,2015-06-22,10067.0,2015-06-22,75983.0,10854.714285714286
198,2015-06-23,7962.0,2015-06-22,75983.0,10854.714285714286
199,2015-06-24,9063.0,2015-06-22,75983.0,10854.714285714286
200,2015-06-25,12787.0,2015-06-22,75983.0,10854.714285714286
201,2015-06-26,9831.0,2015-06-22,75983.0,10854.714285714286
202,2015-06-27,15513.0,2015-06-22,75983.0,10854.714285714286
203,2015-06-28,10760.0,2015-06-22,75983.0,10854.714285714286
204,2015-06-29,10093.0,2015-06-29,54920.0,7845.714285714285
205,2015-06-30,6861.0,2015-06-29,54920.0,7845.714285714285
206,2015-07-01,2111.0,2015-06-29,54920.0,7845.714285714285
207,2015-07-02,7009.0,2015-06-29,54920.0,7845.714285714285
208,2015-07-03,1900.0,2015-06-29,54920.0,7845.714285714285
209,2015-07-04,11779.0,2015-06-29,54920.0,7845.714285714285
210,2015-07-05,15167.0,2015-06-29,54920.0,7845.714285714285
211,2015-07-06,29824.0,2015-07-06,113499.0,16214.142857142857
212,2015-07-07,14917.0,2015-07-06,113499.0,16214.142857142857
213,2015-07-08,14671.0,2015-07-06,113499.0,16214.142857142857
214,2015-07-09,7832.0,2015-07-06,113499.0,16214.142857142857
215,2015-07-10,10682.0,2015-07-06,113499.0,16214.142857142857
216,2015-07-11,20415.0,2015-07-06,113499.0,16214.142857142857
217,2015-07-12,15158.0,2015-07-06,113499.0,16214.142857142857
218,2015-07-13,1876.0,2015-07-13,8175.0,1167.5714285714287
219,2015-07-14,1638.0,2015-07-13,8175.0,1167.5714285714287
220,2015-07-15,769.0,2015-07-13,8175.0,1167.5714285714287
221,2015-07-16,3878.0,2015-07-13,8175.0,1167.5714285714287
222,2015-07-17,14.0,2015-07-13,8175.0,1167.5714285714287
223,2015-07-18,1168.0,2015-07-13,8175.0,1167.5714285714287
224,2015-07-19,1168.0,2015-07-13,8175.0,1167.5714285714287
225,2015-07-20,3406.0,2015-07-20,31140.0,3892.375
226,2015-07-21,2187.0,2015-07-20,31140.0,3892.375
227,2015-07-22,9740.0,2015-07-20,31140.0,3892.375
228,2015-07-23,768.0,2015-07-20,31140.0,3892.375
229,2015-07-24,7406.0,2015-07-20,31140.0,3892.375
230,2015-07-25,4496.0,2015-07-20,31140.0,3892.375
231,2015-07-26,3137.0,2015-07-20,31140.0,3892.375
232,2015-07-27,3892.0,2015-07-20,31140.0,3892.375
233,2015-07-28,3603.0,2015-07-27,19226.0,3204.3333333333335
234,2015-07-29,521.0,2015-07-27,19226.0,3204.3333333333335
235,2015-07-30,3181.0,2015-07-27,19226.0,3204.3333333333335
236,2015-07-31,4652.0,2015-07-27,19226.0,3204.3333333333335
237,2015-08-01,5746.0,2015-07-27,19226.0,3204.3333333333335
238,2015-08-02,1523.0,2015-07-27,19226.0,3204.3333333333335
239,2015-08-03,5523.0,2015-08-03,23844.0,3406.285714285714
240,2015-08-04,3383.0,2015-08-03,23844.0,3406.285714285714
241,2015-08-05,4170.0,2015-08-03,23844.0,3406.285714285714
242,2015-08-06,2742.0,2015-08-03,23844.0,3406.285714285714
243,2015-08-07,4337.0,2015-08-03,23844.0,3406.285714285714
244,2015-08-08,2387.0,2015-08-03,23844.0,3406.285714285714
245,2015-08-09,1302.0,2015-08-03,23844.0,3406.285714285714
246,2015-08-10,7649.0,2015-08-10,40158.0,5736.857142857143
247,2015-08-11,5689.0,2015-08-10,40158.0,5736.857142857143
248,2015-08-12,4536.0,2015-08-10,40158.0,5736.857142857143
249,2015-08-13,6947.0,2015-08-10,40158.0,5736.857142857143
250,2015-08-14,6225.0,2015-08-10,40158.0,5736.857142857143
251,2015-08-15,3440.0,2015-08-10,40158.0,5736.857142857143
252,2015-08-16,5672.0,2015-08-10,40158.0,5736.857142857143
253,2015-08-17,1049.0,2015-08-17,26494.0,3784.8571428571427
254,2015-08-18,6824.0,2015-08-17,26494.0,3784.8571428571427
255,2015-08-19,7221.0,2015-08-17,26494.0,3784.8571428571427
256,2015-08-20,1222.0,2015-08-17,26494.0,3784.8571428571427
257,2015-08-21,4690.0,2015-08-17,26494.0,3784.8571428571427
258,2015-08-22,43.0,2015-08-17,26494.0,3784.8571428571427
259,2015-08-23,5445.0,2015-08-17,26494.0,3784.8571428571427
260,2015-08-24,8291.0,2015-08-24,38845.0,5549.285714285715
261,2015-08-25,6336.0,2015-08-24,38845.0,5549.285714285715
262,2015-08-26,1792.0,2015-08-24,38845.0,5549.285714285715
263,2015-08-27,6188.0,2015-08-24,38845.0,5549.285714285715
264,2015-08-28,9466.0,2015-08-24,38845.0,5549.285714285715
265,2015-08-29,1927.0,2015-08-24,38845.0,5549.285714285715
266,2015-08-30,4845.0,2015-08-24,38845.0,5549.285714285715
267,2015-08-31,1986.0,2015-08-31,24562.0,3508.714285714286
268,2015-09-01,1919.0,2015-08-31,24562.0,3508.714285714286
269,2015-09-02,8252.0,2015-08-31,24562.0,3508.714285714286
270,2015-09-03,3493.0,2015-08-31,24562.0,3508.714285714286
271,2015-09-04,1445.0,2015-08-31,24562.0,3508.714285714286
272,2015-09-05,7467.0,2015-08-31,24562.0,3508.714285714286
273,2015-09-06,3509.0,2015-08-31,24562.0,3508.714285714286
274,2015-09-07,6038.0,2015-09-07,35389.0,4423.5
275,2015-09-08,8876.0,2015-09-07,35389.0,4423.5
276,2015-09-09,6612.0,2015-09-07,35389.0,4423.5
277,2015-09-10,4591.0,2015-09-07,35389.0,4423.5
278,2015-09-11,5168.0,2015-09-07,35389.0,4423.5
279,2015-09-12,2541.0,2015-09-07,35389.0,4423.5
280,2015-09-13,1563.0,2015-09-07,35389.0,4423.5
281,2015-09-14,4424.0,2015-09-07,35389.0,4423.5
282,2015-09-15,2060.0,2015-09-14,21551.0,3591.8333333333335
283,2015-09-16,4260.0,2015-09-14,21551.0,3591.8333333333335
284,2015-09-17,10361.0,2015-09-14,21551.0,3591.8333333333335
285,2015-09-18,2157.0,2015-09-14,21551.0,3591.8333333333335
286,2015-09-19,1611.0,2015-09-14,21551.0,3591.8333333333335
287,2015-09-20,1102.0,2015-09-14,21551.0,3591.8333333333335
288,2015-09-21,409.0,2015-09-21,26127.0,3732.285714285714
289,2015-09-22,3191.0,2015-09-21,26127.0,3732.285714285714
290,2015-09-23,2524.0,2015-09-21,26127.0,3732.285714285714
291,2015-09-24,5819.0,2015-09-21,26127.0,3732.285714285714
292,2015-09-25,6648.0,2015-09-21,26127.0,3732.285714285714
293,2015-09-26,7536.0,2015-09-21,26127.0,3732.285714285714
294,2015-09-27,3732.0,2015-09-21,26127.0,3732.285714285714
295,2015-09-28,9158.0,2015-09-28,19455.0,2779.0
296,2015-09-29,1402.0,2015-09-28,19455.0,2779.0
297,2015-09-30,2339.0,2015-09-28,19455.0,2779.0
298,2015-10-01,2104.0,2015-09-28,19455.0,2779.0
299,2015-10-02,2779.0,2015-09-28,19455.0,2779.0
300,2015-10-03,2779.0,2015-09-28,19455.0,2779.0
301,2015-10-04,4452.0,2015-09-28,19455.0,2779.0
302,2015-10-05,16.0,2015-10-05,20814.0,2973.285714285714
303,2015-10-06,1447.0,2015-10-05,20814.0,2973.285714285714
304,2015-10-07,5610.0,2015-10-05,20814.0,2973.285714285714
305,2015-10-08,476.0,2015-10-05,20814.0,2973.285714285714
306,2015-10-09,8563.0,2015-10-05,20814.0,2973.285714285714
307,2015-10-10,4702.0,2015-10-05,20814.0,2973.285714285714
308,2015-10-11,2973.0,2015-10-05,20814.0,2973.285714285714
309,2015-10-12,4328.0,2015-10-12,29738.0,4248.142857142857
310,2015-10-13,1398.0,2015-10-12,29738.0,4248.142857142857
311,2015-10-14,7592.0,2015-10-12,29738.0,4248.142857142857
312,2015-10-15,10146.0,2015-10-12,29738.0,4248.142857142857
313,2015-10-16,4248.0,2015-10-12,29738.0,4248.142857142857
314,2015-10-17,2890.0,2015-10-12,29738.0,4248.142857142857
315,2015-10-18,3384.0,2015-10-12,29738.0,4248.142857142857
316,2015-10-19,994.0,2015-10-19,19349.0,2764.1428571428573
317,2015-10-20,475.0,2015-10-19,19349.0,2764.1428571428573
318,2015-10-21,1634.0,2015-10-19,19349.0,2764.1428571428573
319,2015-10-22,1162.0,2015-10-19,19349.0,2764.1428571428573
320,2015-10-23,5997.0,2015-10-19,19349.0,2764.1428571428573
321,2015-10-24,1974.0,2015-10-19,19349.0,2764.1428571428573
322,2015-10-25,7113.0,2015-10-19,19349.0,2764.1428571428573
323,2015-10-26,9641.0,2015-10-26,39484.0,5640.571428571428
324,2015-10-27,3851.0,2015-10-26,39484.0,5640.571428571428
325,2015-10-28,4493.0,2015-10-26,39484.0,5640.571428571428
326,2015-10-29,7119.0,2015-10-26,39484.0,5640.571428571428
327,2015-10-30,5162.0,2015-10-26,39484.0,5640.571428571428
328,2015-10-31,7534.0,2015-10-26,39484.0,5640.571428571428
329,2015-11-01,1684.0,2015-10-26,39484.0,5640.571428571428
330,2015-11-02,3332.0,2015-11-02,19953.0,2850.4285714285716
331,2015-11-03,2752.0,2015-11-02,19953.0,2850.4285714285716
332,2015-11-04,2090.0,2015-11-02,19953.0,2850.4285714285716
333,2015-11-05,2906.0,2015-11-02,19953.0,2850.4285714285716
334,2015-11-06,685.0,2015-11-02,19953.0,2850.4285714285716
335,2015-11-07,3583.0,2015-11-02,19953.0,2850.4285714285716
336,2015-11-08,4605.0,2015-11-02,19953.0,2850.4285714285716
337,2015-11-09,1385.0,2015-11-09,46738.0,6676.857142857143
338,2015-11-10,9131.0,2015-11-09,46738.0,6676.857142857143
339,2015-11-11,2103.0,2015-11-09,46738.0,6676.857142857143
340,2015-11-12,2448.0,2015-11-09,46738.0,6676.857142857143
341,2015-11-13,8349.0,2015-11-09,46738.0,6676.857142857143
342,2015-11-14,21367.0,2015-11-09,46738.0,6676.857142857143
343,2015-11-15,1955.0,2015-11-09,46738.0,6676.857142857143
344,2015-11-16,7438.0,2015-11-16,29012.0,4144.571428571428
345,2015-11-17,4025.0,2015-11-16,29012.0,4144.571428571428
346,2015-11-18,5314.0,2015-11-16,29012.0,4144.571428571428
347,2015-11-19,1427.0,2015-11-16,29012.0,4144.571428571428
348,2015-11-20,3056.0,2015-11-16,29012.0,4144.571428571428
349,2015-11-21,1949.0,2015-11-16,29012.0,4144.571428571428
350,2015-11-22,5803.0,2015-11-16,29012.0,4144.571428571428
351,2015-11-23,5912.0,2015-11-23,37683.0,5383.285714285715
352,2015-11-24,3232.0,2015-11-23,37683.0,5383.285714285715
353,2015-11-25,3624.0,2015-11-23,37683.0,5383.285714285715
354,2015-11-26,5522.0,2015-11-23,37683.0,5383.285714285715
355,2015-11-27,1988.0,2015-11-23,37683.0,5383.285714285715
356,2015-11-28,9857.0,2015-11-23,37683.0,5383.285714285715
357,2015-11-29,7548.0,2015-11-23,37683.0,5383.285714285715
358,2015-11-30,1451.0,2015-11-30,17308.0,2472.4285714285716
359,2015-12-01,3593.0,2015-11-30,17308.0,2472.4285714285716
360,2015-12-02,6600.0,2015-11-30,17308.0,2472.4285714285716
361,2015-12-03,1332.0,2015-11-30,17308.0,2472.4285714285716
